City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
184,santa isabel do rio negro,-0.4139,-65.0192,74.28200000000001,96,100,0.9,BR,1678363515
185,xiaoshi,41.2971,124.1209,47.444000000000074,59,49,2.56,CN,1678363516
186,sao filipe,14.8961,-24.4956,81.46400000000003,49,0,3.21,CV,1678363518
187,cabo san lucas,22.8909,-109.9124,66.05600000000003,66,94,4.82,MX,1678363520
188,itupiranga,-5.1347,-49.3267,79.12400000000001,87,87,0.93,BR,1678363523
189,bambous virieux,-20.3428,57.7575,83.21000000000008,94,75,2.06,MU,1678363525
190,mangrol,21.1167,70.1167,85.15400000000005,43,0,6.24,IN,1678363526
191,berezovyy,51.6667,135.7,13.118000000000087,96,100,1.48,RU,1678363528
192,tyukhtet,56.5389,89.3011,3.1999999999999993,93,100,2.1,RU,1678363529
193,carnarvon,-24.8667,113.6333,77.18000000000004,67,0,10.56,AU,1678363531
194,tignere,7.3667,12.65,93.47000000000006,13,99,2.8,CM,1678363533
195,la ronge,55.1001,-105.2842,-14.547999999999973,70,0,0.51,CA,1678363534
196,birao,10.2849,22.7882,102.83000000000004,10,72,5.86,CF,1678363536
197,norman wells,65.282,-126.8329,-12.963999999999984,77,20,1.03,CA,1678363143
198,pangnirtung,66.1451,-65.7125,10.130000000000042,80,35,2.18,CA,1678363539
199,japura,-0.3167,102.35,74.93000000000004,95,86,1.44,ID,1678363540
200,ixtapa,20.7,-105.2,65.22800000000007,88,0,0.45,MX,1678363542
201,ugoofaaru,5.6667,73.0,81.10400000000006,80,40,5.92,MV,1678363543
202,bone,51.9669,12.1396,39.812000000000054,88,100,0.64,DE,1678363545
203,upernavik,72.7868,-56.1549,-10.245999999999945,94,80,2.74,GL,1678363483
204,jalu,29.0331,21.5482,72.21200000000006,31,0,4.05,LY,1678363547
205,kochkurovo,54.0358,45.4184,33.89000000000002,99,100,4.77,RU,1678363549
206,faya,18.3851,42.4509,71.708,37,2,5.28,SA,1678363550
207,lagoa,39.05,-27.9833,61.088000000000044,90,100,14.63,PT,1678363552
208,nikolayevsk-na-amure,53.1406,140.73,13.748000000000026,95,100,1.75,RU,1678363553
209,dikson,73.5069,80.5464,-3.279999999999937,95,99,6.67,RU,1678363555
210,mehamn,71.0357,27.8492,22.910000000000082,49,75,7.72,NO,1678363556
211,menongue,-14.6585,17.691,81.98600000000008,52,100,1.82,AO,1678363557
212,baykit,61.67,96.37,-3.4419999999999433,90,100,5.3,RU,1678363559
213,west chester,39.9607,-75.6055,33.008,70,0,2.68,US,1678363563
214,araouane,18.9048,-3.5265,94.11800000000008,5,0,6.26,ML,1678363564
215,djenne,13.9061,-4.5533,98.20400000000005,4,17,5.11,ML,1678363567
